	0
barrio_viejo_barrio	5
volver_entrar_casa	4
abrir_puerta_casa	4
ver_salir_casa	4
resbalar_caer_soler	3
llamar_puerta_vecino	3
cargar_bolsa_comprar	3
poder_salir_casa	3
echar_mano_cabeza	3
asomar_ventana_ver	3
poder_parar_reír	3
colgar_pomo_puerta	3
salir_balcón_aplaudir	3
entrar_salir_casa	3
llegar_casa_noche	3
salir_correr_tarde	2
casa_vecino_ver	2
ventana_zona_común	2
ventana_balcón_puerta	2
leer_escuchar_músico	2
calzar_estrechar_zapato	2
casa_leyenda_espantar	2
ventana_entrar_luz	2
ir_comer_pollo	2
poner_ojo_mirilla	2
vivir_pisar_abajar	2
año_llevar_vivir	2
regalar_envolver_papel	2
deje_bailar_favor	2
d_i_n	2
puerta_verde_maderar	2
parecía_escuchar_telefonillo	2
entablar_largo_charlar	2
tamaño_palmar_mano	2
padre_viejo_don	2
abrir_puerta_llamar	2
cuarenta_año_vida	2
ciento_diez_centímetro	2
vecino_tirar_basura	2
puerta_entrar_edificio	2
empezar_ponerme_nervioso	2
señor_vivir_casa	2
entrar_cerrar_puerta	2
llegar_abrir_puerta	2
vive_paraíso_vivir	2
cerrar_puerta_casa	2
oler_bacon_ranciar	2
dejar_pequeño_cuidar	2
punta_torrar_estallar	2
2_ó_3	2
realidad_seriar_lamentar	2
ojo_cerrar_sentir	2
ver_caminar_calle	2
avisar_maldito_peldaño	2
vecino_familia_elegir	2
haber_vestir_fantasma	2
cerrar_puerta_abrir	2
repetir_palabra_oración	2
extrañar_antiguar_vecindario	2
ataviar_guante_mascarilla	2
respirar_aire_puro	2
atrás_boca_abrir	2
al_observar_familia	2
salir_puerta_casa	2
escuchar_ruido_procedente	2
tomar_binocular_tocador	2
estaré_volver_mañana	2
allá_hacer_bola	2
gato_mirar_fijamente	2
cogí_incomodísimo_avión	2
ventana_cubrir_cortina	2
hombre_mediano_edad	2
puerta_ventana_abrir	2
llegar_fondo_asunto	2
enviar_domiciliar_justificable	2
cortar_caminar_casa	2
caso_tomar_partir	2
tirar_puerta_abajar	2
aparecer_arte_magia	2
abrir_dejar_pasar	2
montura_morar_gafo	2
berrinche_chamaco_educar	2
respiración_exhalar_siguiente	2
duchar_aguar_frío	2
niño_4_año	2
querer_regresar_casa	2
puerta_ascensor_cerrar	2
zapatilla_andar_casa	2
abrir_par_par	2
hijo_vivir_extranjero	2
llevar_pelar_recoger	2
casa_nivel_pintar	2
escalofrío_recorrer_cuerpo	2
palabra_salir_boca	2
año_barrer_vereda	2
inquilino_golosinar_niño	2
hoja_seguir_caer	2
actividad_sexual_departamento	2
encender_linterna_móvil	2
sentir_olor_quemar	2
aguar_salir_gota	2
noche_poder_dormir	2
quedo_recital_piano	2
edad_treinta_año	2
volver_llamar_jefe	2
sentar_frente_televisor	2
abrir_ventana_salón	2
color_azul_eléctrico	2
ojo_marrón_común	2
invitar_tomar_café	2
sentar_frente_ordenador	2
volver_reírse_formar	2
cuartar_pisar_vivir	2
juntar_jugar_carta	2
viernes_sábado_domingo	2
preguntar_poder_pasar	2
abrir_botella_venir	2
empezar_escuchar_grito	2
darle_besar_mejilla	2
sentar_sombrar_limonero	2
gente_humilde_trabajador	2
personar_ritual_matutino	2
subir_barco_papel	2
subir_escalera_prisa	2
gustar_mirar_mirar	2
caer_soñar_profundar	2
poner_pelo_punta	2
poner_guante_mascarilla	2
encender_equipar_músico	2
vivir_frente_casa	2
hablar_ventana_amarillo	2
compositor_cantar_bonito	2
tratar_menor_ruido	2
marcar_ojo_izquierdo	2
joven_30_año	2
abrir_puerta_encontrar	2
cuarenta_año_hijo	2
mirar_ventana_ver	2
flauta_bolsillo_impermeable	2
ley_llegar_casa	2
mundo_quedar_casa	2
montar_bicicleta_estático	2
tendré_ocultar_nocturno	2
noche_tener_pesadilla	2
salir_correr_casa	2
quedar_sentar_banco	2
bajo_ojo_cerrar	2
curvatura_interior_hoja	2
adolescente_reparar_computador	2
escalera_detener_puerta	2
tostar_integral_jalear	2
decidir_entrar_vivienda	2
ventana_7_noche	2
vender_venirnos_vivir	2
mano_agarrar_forzar	2
puerta_cerrar_llave	2
botánico_cuidar_plantar	2
quedar_suspender_avisar	2
abrir_cerrar_ojo	2
brazo_apoyar_alféizar	2
murar_silencioso_madre	2
foto_blanco_negro	2
dejar_caer_cama	2
regresar_sano_salvo	2
abrazar_amigar_conocer	2
coger_papel_bolígrafo	2
pared_separar_casa	2
paso_pie_descalzo	2
señor_dar_pasito	2
escuchar_risa_infantil	2
ideo_rondar_cabeza	2
contiguo_llamar_atención	2
ventana_par_par	2
mano_empezar_temblar	2
incendiar_iniciar_vestir	2
correr_escalera_abajar	2
ojo_inundar_lágrima	2
ir_subir_escalera	2
amar_sentir_mirar	2
3_pisar_compartir	2
llevar_vivir_edificio	2
escuchar_voz_mujer	2
dejar_pasar_querer	2
helar_recorrer_cuerpo	2
cocinar_abrir_nevera	2
abrigar_negro_capucha	2
haber_volver_loco	2
conocer_conocer_vecino	2
familia_soldar_recibir	2
sonar_timbrar_casa	2
dejar_salir_casa	2
profundar_ver_senda	2
ojo_llenar_lágrima	2
masticar_boca_abrir	2
noche_bajar_escalera	2
armar_doblar_filo	2
banca_jardín_convento	2
